Group,Person,Trial,Score
Group 1,Person 1,1,5
Group 1,Person 1,2,10
Group 1,Person 1,3,2
Group 1,Person 1,4,8
Group 1,Person 1,5,4
Group 1,Person 1,6,9
Group 1,Person 1,7,4
Group 1,Person 1,8,1
Group 1,Person 1,9,10
Group 1,Person 1,10,5
Group 1,Person 2,1,4
Group 1,Person 2,2,8
Group 1,Person 2,3,9
Group 1,Person 2,4,5
Group 1,Person 2,5,8
Group 1,Person 2,6,10
Group 1,Person 2,7,3
Group 1,Person 2,8,10
Group 1,Person 2,9,6
Group 1,Person 2,10,7
Group 1,Person 3,1,2
Group 1,Person 3,2,8
Group 1,Person 3,3,10
Group 1,Person 3,4,2
Group 1,Person 3,5,2
Group 1,Person 3,6,3
Group 1,Person 3,7,10
Group 1,Person 3,8,4
Group 1,Person 3,9,10
Group 1,Person 3,10,4
Group 1,Person 4,1,8
Group 1,Person 4,2,5
Group 1,Person 4,3,1
Group 1,Person 4,4,3
Group 1,Person 4,5,10
Group 1,Person 4,6,1
Group 1,Person 4,7,1
Group 1,Person 4,8,6
Group 1,Person 4,9,10
Group 1,Person 4,10,6
Group 1,Person 5,1,9
Group 1,Person 5,2,2
Group 1,Person 5,3,5
Group 1,Person 5,4,4
Group 1,Person 5,5,4
Group 1,Person 5,6,9
Group 1,Person 5,7,1
Group 1,Person 5,8,10
Group 1,Person 5,9,5
Group 1,Person 5,10,3
Group 2,Person 1,1,9
Group 2,Person 1,2,9
Group 2,Person 1,3,5
Group 2,Person 1,4,7
Group 2,Person 1,5,8
Group 2,Person 1,6,8
Group 2,Person 1,7,7
Group 2,Person 1,8,8
Group 2,Person 1,9,3
Group 2,Person 1,10,10
Group 2,Person 2,1,5
Group 2,Person 2,2,8
Group 2,Person 2,3,9
Group 2,Person 2,4,2
Group 2,Person 2,5,9
Group 2,Person 2,6,1
Group 2,Person 2,7,10
Group 2,Person 2,8,8
Group 2,Person 2,9,10
Group 2,Person 2,10,9
Group 2,Person 3,1,6
Group 2,Person 3,2,8
Group 2,Person 3,3,3
Group 2,Person 3,4,2
Group 2,Person 3,5,4
Group 2,Person 3,6,10
Group 2,Person 3,7,7
Group 2,Person 3,8,1
Group 2,Person 3,9,10
Group 2,Person 3,10,3
Group 2,Person 4,1,8
Group 2,Person 4,2,4
Group 2,Person 4,3,7
Group 2,Person 4,4,8
Group 2,Person 4,5,8
Group 2,Person 4,6,6
Group 2,Person 4,7,2
Group 2,Person 4,8,5
Group 2,Person 4,9,10
Group 2,Person 4,10,4
Group 2,Person 5,1,8
Group 2,Person 5,2,3
Group 2,Person 5,3,2
Group 2,Person 5,4,9
Group 2,Person 5,5,1
Group 2,Person 5,6,10
Group 2,Person 5,7,3
Group 2,Person 5,8,1
Group 2,Person 5,9,5
Group 2,Person 5,10,7
Group 3,Person 1,1,6
Group 3,Person 1,2,7
Group 3,Person 1,3,6
Group 3,Person 1,4,4
Group 3,Person 1,5,7
Group 3,Person 1,6,8
Group 3,Person 1,7,9
Group 3,Person 1,8,10
Group 3,Person 1,9,6
Group 3,Person 1,10,5
Group 3,Person 2,1,1
Group 3,Person 2,2,10
Group 3,Person 2,3,1
Group 3,Person 2,4,7
Group 3,Person 2,5,7
Group 3,Person 2,6,8
Group 3,Person 2,7,6
Group 3,Person 2,8,4
Group 3,Person 2,9,4
Group 3,Person 2,10,7
Group 3,Person 3,1,6
Group 3,Person 3,2,9
Group 3,Person 3,3,2
Group 3,Person 3,4,4
Group 3,Person 3,5,8
Group 3,Person 3,6,3
Group 3,Person 3,7,9
Group 3,Person 3,8,10
Group 3,Person 3,9,8
Group 3,Person 3,10,4
Group 3,Person 4,1,10
Group 3,Person 4,2,10
Group 3,Person 4,3,6
Group 3,Person 4,4,2
Group 3,Person 4,5,2
Group 3,Person 4,6,8
Group 3,Person 4,7,6
Group 3,Person 4,8,3
Group 3,Person 4,9,7
Group 3,Person 4,10,6
Group 3,Person 5,1,5
Group 3,Person 5,2,6
Group 3,Person 5,3,4
Group 3,Person 5,4,9
Group 3,Person 5,5,2
Group 3,Person 5,6,10
Group 3,Person 5,7,9
Group 3,Person 5,8,7
Group 3,Person 5,9,6
Group 3,Person 5,10,5
